hour,평균전력사용량
0,5121.0838886911715
1,4828.966546127148
2,4436.061655767786
3,4301.931714961177
4,4069.172540716068
5,4467.956891950393
6,4570.492076378459
7,5000.093613470334
8,5677.40991995269
9,6575.992184073575
10,7246.801206238808
11,7460.4591281898665
12,7545.2088765991575
13,7556.557941843527
14,7647.383917127698
15,7447.155007253732
16,7339.593545925432
17,7314.291549109633
18,7374.113311496575
19,7044.046620190174
20,6809.83269766076
21,6514.589844807855
22,6080.459737646701
23,5566.367601642355
