hour,load_mean,pv_norm,net_load
0,4828.966546127148,0.0,4828.966546127148
1,4436.061655767786,0.0,4436.061655767786
2,4301.931714961177,0.0,4301.931714961177
3,4069.172540716068,0.0,4069.172540716068
4,4467.956891950393,0.0,4467.956891950393
5,4570.492076378459,0.0,4570.492076378459
6,5000.093613470334,0.0,5000.093613470334
7,5677.40991995269,0.033285064276523564,5626.50118690692
8,6575.992184073575,0.0941421918595232,6432.003887283641
9,7246.801206238808,0.22040526037377564,6909.696477552257
10,7460.4591281898665,0.42713223677089934,6807.170288596155
11,7545.2088765991575,0.6851812798268945,6497.240016666125
12,7556.557941843527,0.9098113957113441,6165.02253480704
13,7647.383917127698,1.0,6117.907133702158
14,7447.155007253732,0.9098113957113441,6055.619600217245
15,7339.593545925432,0.6851812798268945,6291.6246859923995
16,7314.291549109633,0.42713223677089934,6661.002709515922
17,7374.113311496575,0.22040526037377564,7037.008582810025
18,7044.046620190174,0.0941421918595232,6900.05832340024
19,6809.83269766076,0.033285064276523564,6758.92396461499
20,6514.589844807855,0.0,6514.589844807855
21,6080.459737646701,0.0,6080.459737646701
22,5566.367601642355,0.0,5566.367601642355
23,5121.0838886911715,0.0,5121.0838886911715
